2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,568 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fadded_tokens.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,569 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/video_preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,574 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fspecial_tokens_map.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,576 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fpreprocessor_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,578 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,584 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fvideo_preprocessor_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,588 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Ftokenizer_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,591 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fmerges.txt "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,596 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fadded_tokens.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,600 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fspecial_tokens_map.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,602 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fpreprocessor_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,604 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fvideo_preprocessor_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,617 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Ftokenizer_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.675 | info | o9z6dp2ddsyshk | \rFetching 32 files:  25%|██▌       | 8/32 [00:00<00:00, 34.29it/s]2026-08-19 14:24:25,673 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/vocab.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,680 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fvocab.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,688 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fvocab.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,742 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder/config.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,750 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/scheduler/scheduler_config.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,753 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder%2Fconfig.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,760 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/scheduler%2Fscheduler_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,764 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder%2Fconfig.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,770 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/scheduler%2Fscheduler_config.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.898 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,897 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder/model.safetensors.index.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,901 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer/added_tokens.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,904 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer/chat_template.jinja "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,910 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Fadded_tokens.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,912 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder%2Fmodel.safetensors.index.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,915 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Fchat_template.jinja "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | \rFetching 32 files:  38%|███▊      | 12/32 [00:00<00:00, 22.70it/s]2026-08-19 14:24:25,927 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/text_encoder%2Fmodel.safetensors.index.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,931 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Fchat_template.jinja "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.045 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:26,044 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer/merges.txt "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.177 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:26,052 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Fmerges.txt "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.177 | info | o9z6dp2ddsyshk | \rFetching 32 files:  47%|████▋     | 15/32 [00:00<00:00, 22.46it/s]2026-08-19 14:24:26,059 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer/special_tokens_map.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.178 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:26,063 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:26.178 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:26,068 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Fspecial_tokens_map.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:26.178 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:26,071 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/tokenizer%2Ftokenizer_config.json "HTTP/1.1 200 OK"\n
